label_raw,n,v9_roles,d056_roles,event_context,participant,rule_id
dance troup,3,other,other,wedding_day,,unmatched
dance troupe,3,other,other,wedding_day,,unmatched
dancefloor & ceremony staging,3,other,lighting_production,ceremony,,compound(exact+exact).ctx
bridesmaids' dresses,3,attire,attire,wedding_day,,exact
bridgeportartistcommunity,3,other,other,wedding_day,,unmatched
joel hall dancers & center,3,other,dancers_choreography,wedding_day,,compound(h.dance)
bronzer,3,other,other,wedding_day,,unmatched
brows,3,other,beauty_services,wedding_day,,exact
decor & production,3,rentals,decor_other|lighting_production,wedding_day,,compound(exact+exact)
khmer dress,3,attire,attire,wedding_day,,h.attire
decor + florals,3,florist,decor_other|florist,wedding_day,,compound(exact+exact)
kulfi,3,other,other,wedding_day,,unmatched
kunafa,3,other,other,wedding_day,,unmatched
decor and car build,3,rentals,decor_other,wedding_day,,compound(exact)
atrium,3,other,other,wedding_day,,unmatched
attire & jewelry,3,attire,attire|jewelry,wedding_day,,compound(exact+exact)
decoration,3,rentals,decor_other,wedding_day,,h.decor
late night outfit,3,attire,attire,wedding_day,,h.attire
budtender,3,other,other,wedding_day,,unmatched
decore,3,rentals,other,wedding_day,,unmatched
deeply rooted dance theater,3,other,other,wedding_day,,unmatched
additional photography,3,photographer,photographer,wedding_day,,h.photographer
letterpress,3,other,other,wedding_day,,unmatched
lighting & drape,3,other,lighting_production,wedding_day,,compound(exact)
cafe lighting + chandeliers,3,other,lighting_production,wedding_day,,compound(h.lighting)
cake & cookies,3,cake,cake|desserts,wedding_day,,compound(exact+exact)
lighting production and dj,3,dj,lighting_production|dj,wedding_day,,compound(h.lighting+exact)
lights & dj,3,dj,lighting_production|dj,wedding_day,,compound(exact+exact)
design assistant,3,other,other,wedding_day,,unmatched
design concept & planning,3,planner,event_design|planner,wedding_day,,compound(h.event_design+exact)
design decor,3,rentals,decor_other,wedding_day,,h.decor
cake & macarons,3,cake,cake|desserts,wedding_day,,compound(exact+h.desserts)
linen and rentals,3,rentals,rentals,wedding_day,,compound(exact+exact)
designer and lead planner,3,planner,event_design|planner,wedding_day,,compound(exact+exact.stripped)
linen partner,3,rentals,other,wedding_day,,unmatched
audio,3,other,lighting_production,wedding_day,,h.lighting
linens & furniture,3,rentals,rentals,wedding_day,,compound(exact+exact)
linens & place settings,3,rentals,rentals,wedding_day,,compound(exact)
linens + rentals,3,rentals,rentals,wedding_day,,compound(exact+exact)
details of the joinery,3,other,other,wedding_day,,unmatched
developed by,3,other,other,wedding_day,,unmatched
live fashion illustrator,3,other,live_painter,wedding_day,,h.live_painter
live musician,3,musician,live_music,wedding_day,,h.live_music
live saxophone,3,musician,live_music,wedding_day,,h.live_music
blush models,3,other,other,wedding_day,,unmatched
loafers,3,other,other,wedding_day,,unmatched
cake letters,3,cake,decor_other,wedding_day,,exact
logistics & transportation,3,transportation,coordinator|transportation,wedding_day,,compound(exact+exact)
director at large,3,other,other,wedding_day,,unmatched
boat cruise rental,3,rentals,rentals,wedding_day,,h.rentals
disco balls,3,other,other,wedding_day,,unmatched
boat rental,3,rentals,rentals,wedding_day,,h.rentals
dj & av,3,dj,dj|lighting_production,wedding_day,,compound(exact+exact)
dj & band,3,band,dj|band,wedding_day,,compound(exact+exact)
call your crew,3,other,noise,wedding_day,,noise
luxury wedding network,3,other,other,wedding_day,,unmatched
dj & lights,3,dj,dj|lighting_production,wedding_day,,compound(exact+exact)
calligraphy + paper works,3,stationery,calligraphy,wedding_day,,compound(exact)
dj & mc,3,dj,dj|mc,wedding_day,,compound(exact+exact)
boba bar,3,other,bar_service,wedding_day,,h.bar
dj + lighting,3,dj,dj|lighting_production,wedding_day,,compound(exact+exact)
makeup & party hair,3,hair,makeup|hair,wedding_day,,compound(exact+exact)
makeup and hair stylist,3,hair,makeup|hair,wedding_day,,compound(exact+exact)
makeup bridal makeup by aga,3,makeup,makeup,wedding_day,,h.makeup.stripped
makeup by me for,3,makeup,makeup,wedding_day,,exact.stripped
candle lighting,3,other,lighting_production,wedding_day,,h.lighting
dj equipment rentals & sound,3,dj,rentals|lighting_production,wedding_day,,compound(h.rentals+exact)
marquee extension for lunch,3,other,catering,wedding_day,,h.catering
djs & vibe curators,3,dj,dj,wedding_day,,compound(exact)
cannolis,3,other,other,wedding_day,,unmatched
may,3,other,other,wedding_day,,unmatched
booked through,3,other,other,wedding_day,,unmatched
dog,3,other,other,wedding_day,,unmatched
booth,3,other,photo_booth,wedding_day,,h.photo_booth
mehndi decor,3,rentals,decor_other,sangeet_mehndi,,exact.ctx
don’t forget to visit our friends,3,other,other,wedding_day,,unmatched
men’s stylist,3,other,event_design,wedding_day,,h.event_design
men’s wear,3,other,other,wedding_day,,unmatched
doughnuts,3,other,other,wedding_day,,unmatched
drape,3,other,other,wedding_day,,unmatched
car rental,3,rentals,rentals,wedding_day,,h.rentals
drapery + lighting,3,other,lighting_production,wedding_day,,compound(exact+exact)
carasco,3,other,other,wedding_day,,unmatched
mixology,3,other,bar_service,wedding_day,,h.bar
caricature drawings,3,other,other,wedding_day,,unmatched
draping + rentals,3,rentals,lighting_production|rentals,wedding_day,,compound(exact+exact)
carpet and drape,3,other,rentals,wedding_day,,compound(exact)
cart rental,3,rentals,rentals,wedding_day,,h.rentals
case in point,3,other,other,wedding_day,,unmatched
move me soul,3,other,other,wedding_day,,unmatched
muntu dance theatre,3,other,other,wedding_day,,unmatched
dresses for guests,3,attire,attire,wedding_day,,exact.stripped
dressing,3,attire,other,wedding_day,,unmatched
cater,3,catering,other,wedding_day,,unmatched
dressing location,3,attire,venue,wedding_day,,h.venue
najwa dance corps,3,other,other,wedding_day,,unmatched
alex’s ring,3,jeweler,jewelry,wedding_day,,h.jewelry
drummers,3,other,other,wedding_day,,unmatched
catering & beverage,3,catering,catering|bar_service,wedding_day,,compound(exact+exact)
edited by,3,other,album_editing,wedding_day,,exact
backline,3,other,other,wedding_day,,unmatched
a behind,3,other,other,wedding_day,,unmatched
officiant + dj,3,dj,officiant|dj,wedding_day,,compound(exact+exact)
on site stationery,3,stationery,stationery,wedding_day,,h.stationery
elevated rentals,3,rentals,rentals,wedding_day,,h.rentals
online platform support,3,other,other,wedding_day,,unmatched
email,3,other,other,wedding_day,,unmatched
organization,3,other,other,wedding_day,,unmatched
other dessert,3,cake,desserts,wedding_day,,h.desserts
catering and venue,3,venue,catering|venue,wedding_day,,compound(exact+exact)
catering friday,3,catering,other,wedding_day,,unmatched
paebaek,3,other,other,wedding_day,,unmatched
caviar,3,other,other,wedding_day,,unmatched
painted trays,3,other,other,wedding_day,,unmatched
parking attendant,3,other,other,wedding_day,,unmatched
partial planning,3,planner,planner,wedding_day,,h.planner
bridal dress designer,3,attire,attire,wedding_day,,exact.stripped
party favors,3,other,favors_gifts,wedding_day,,h.favors
party lights,3,other,lighting_production,wedding_day,,h.lighting
arch designer,3,other,event_design,wedding_day,,h.event_design
center stage + dance floor,3,other,lighting_production,wedding_day,,compound(h.lighting+exact)
bridal dresser,3,attire,attire,wedding_day,,exact.stripped
performances,3,other,other,wedding_day,,unmatched
ceremony & reception location,3,other,venue,ceremony,,h.venue.ctx
pet care,3,other,pet_attendant,wedding_day,,h.pet
phone booth,3,other,photo_booth,wedding_day,,h.photo_booth
photo & film,3,photographer,photographer|videographer,wedding_day,,compound(exact+exact)
event decorations,3,rentals,decor_other,wedding_day,,h.decor
