label_raw,current_role,n,handles
hairstyle,hair,4,3
back,other,4,3
band + dj,band,4,3
valet and transportation,transportation,4,2
reception decor,rentals,4,3
by our team here at,other,4,2
muah artist,beauty_other,4,1
mua & hair,hair,4,4
please note,other,4,4
plus,other,4,4
bride’s second look,other,4,2
dress salon,attire,4,1
vemana’s tuxedo and shoes,attire,4,1
dress pictured,attire,4,2
creative direction & photographer,photographer,4,1
decor & seating chart,rentals,4,1
decor & rentals,rentals,4,2
carpet,other,4,2
caricature artist,other,4,3
stationary and signage,stationery,4,2
bouquet & signage,other,4,2
cards,other,4,1
drapes,other,4,2
additional videography,videographer,4,4
flatlay styling,other,4,1
crest & toile design,other,4,2
portraits gown,attire,4,1
drag queens,other,4,3
crew,other,4,4
venus,other,4,1
post,other,4,4
dog handler,other,4,1
custom signs,other,4,2
available at,other,4,1
video & content,videographer,4,1
welcome hh,other,4,1
documentary video,videographer,4,1
media team,other,4,4
sp bride,other,4,4
pr & marketing support,other,4,1
art de la table,other,4,3
chicago makeup artist,makeup,4,4
doc,other,4,4
assistant planner,planner,4,1
video team,videographer,4,4
welcome party floral,florist,4,2
bridal morning look,attire,4,1
mastermind dinner catering,catering,4,1
heels,other,4,4
cannoli,other,4,3
amazing vendors,other,4,4
maracas,other,4,1
manicurist,other,4,2
dj and photobooth,photobooth,4,3
makeup vendor,makeup,4,1
dj and photo booth,photobooth,4,3
retreat host,other,4,2
dj + sax,dj,4,4
custom dance floor,other,4,3
stylist guests,other,4,2
dj + mc,dj,4,2
hmr designs,other,4,1
day of signage,other,4,2
audio visual,other,4,2
make up and hair,hair,4,2
primary photographer,photographer,4,3
hmu by,beauty_other,4,2
retreat,other,4,3
day of paper,stationery,4,1
main couple,other,4,3
special entertainment,dj,4,1
custom tux,attire,4,4
magicians,other,4,2
magazine,other,4,3
lighting & sound,other,4,3
macedonian & greek band,band,4,2
wardrobe,other,4,2
printed materials,other,4,2
jewelry designer,jeweler,4,1
lunch catering,catering,4,1
boats,other,4,1
dishes,other,4,2
jewelry & rings,jeweler,4,2
watercolor & invitations,stationery,4,1
we got ready at,other,4,1
design + decor,rentals,4,2
lounge and bar,other,4,1
audio guestbook,other,4,2
bridesmaid dress,attire,4,4
huma,other,4,2
audio guest book,other,4,2
livestream,other,4,2
cake design,cake,4,3
custom fabrication,other,4,3
florist & lighting,florist,4,3
florist & decor,florist,4,4
invitations & paper products,stationery,4,1
cake by,cake,4,4
website design,other,4,1
host venue,venue,4,2
live engraving,other,4,2
wedding film,videographer,4,1
live calligrapher,other,4,1
details,other,4,4
dessert truck,cake,4,1
wedding cake + sweets,cake,4,2
brides reception dress,attire,4,1
dessert table,cake,4,3
audio book for guests,other,4,1
lion dance,other,4,3
linens windy city linens,rentals,4,1
lighting frost lighting,other,4,1
cake + desserts,cake,4,4
blog,other,4,1
linens & chairs,hair,4,3
property,other,4,4
furniture & rentals,rentals,4,2
prosecco cart,other,4,1
stage & lighting,other,4,1
after party location,other,4,1
gala portrait experience,other,4,1
ps,other,4,4
setting spray,other,4,3
games,other,4,3
reception venue & bar,venue,4,2
florals and decor,florist,4,3
cocktail dinner attire,attire,4,4
from waves to vows to a star,other,4,4
security,other,4,1
bar rentals,rentals,4,2
bridal party hair & make up,hair,4,1
signage & paper goods,stationery,4,1
reception painter,other,4,1
dancefloor & lighting production,other,4,1
conent,other,4,2
lighting and av,other,4,1
words,other,4,4
second photography,photographer,4,1
bistro lighting,other,4,1
floral erin mcdonald co,florist,4,1
second line band,band,4,2
fan,other,4,1
farm tables,other,4,1
coordination & content creation,planner,4,2
taxi boat,other,4,1
wedding day entertainment,dj,4,1
sketch artists,other,4,2
lead videographer,videographer,4,3
bride’s dress on katherine,attire,4,2
fashion illustrator,other,4,3
wedding photo,photographer,4,1
business support,other,4,1
ceremony harpist,other,4,1
eyes,other,4,3
grwm,other,4,3
grammy,other,4,4
coffee bar,other,4,3
groomsmen suits,attire,4,1
bride’s dress on kyra,attire,4,2
photography averyhouse,photographer,4,1
ceremony pillar decor,rentals,4,1
photography + videography,photographer,4,4
gifting,other,4,4
ceremony draping,other,4,1
churro cart,other,4,1
giveaway closed,other,4,4
featured,other,4,2
bridal gown designer,attire,4,3
tents,other,4,1
featured in order of appearance,other,4,4
ceremony ship,other,4,1
snacks,other,4,3
assisted by,other,4,1
food vendors,catering,4,2
photographs by,photographer,4,4
placecards,other,4,1
additional footage courtesy of,other,4,4
lehenga,other,4,2
photographer + videographer,photographer,4,1
social media,other,4,4
planing & design,other,4,3
live sax,musician,3,1
bridesmaids attire,attire,3,3
invitations + printed items,stationery,3,1
bridesmaids gowns,attire,3,3
bridesmaids makeup,makeup,3,3
dance troup,other,3,1
dance troupe,other,3,1
dancefloor & ceremony staging,other,3,1
bridesmaids' dresses,attire,3,3
bridgeportartistcommunity,other,3,1
joel hall dancers & center,other,3,1
bronzer,other,3,3
brows,other,3,2
decor & production,rentals,3,3
khmer dress,attire,3,1
decor + florals,florist,3,1
kulfi,other,3,1
kunafa,other,3,1
decor and car build,rentals,3,3
atrium,other,3,1
attire & jewelry,attire,3,2
decoration,rentals,3,2
late night outfit,attire,3,1
budtender,other,3,1
decore,rentals,3,2
deeply rooted dance theater,other,3,1
additional photography,photographer,3,2
letterpress,other,3,1
lighting & drape,other,3,2
cafe lighting + chandeliers,other,3,1
cake & cookies,cake,3,2
lighting production and dj,dj,3,1
lights & dj,dj,3,1
design assistant,other,3,1
design concept & planning,planner,3,1
design decor,rentals,3,3
cake & macarons,cake,3,2
linen and rentals,rentals,3,3
designer and lead planner,planner,3,1
linen partner,rentals,3,1
audio,other,3,2
linens & furniture,rentals,3,1
linens & place settings,rentals,3,2
linens + rentals,rentals,3,3
details of the joinery,other,3,3
developed by,other,3,2
live fashion illustrator,other,3,2
live musician,musician,3,3
live saxophone,musician,3,1
blush models,other,3,3
loafers,other,3,1
cake letters,cake,3,1
logistics & transportation,transportation,3,1
director at large,other,3,3
boat cruise rental,rentals,3,1
disco balls,other,3,2
boat rental,rentals,3,2
dj & av,dj,3,3
dj & band,band,3,2
call your crew,other,3,3
luxury wedding network,other,3,1
dj & lights,dj,3,1
calligraphy + paper works,stationery,3,1
dj & mc,dj,3,2
boba bar,other,3,2
dj + lighting,dj,3,1
makeup & party hair,hair,3,1
makeup and hair stylist,hair,3,1
makeup bridal makeup by aga,makeup,3,1
makeup by me for,makeup,3,1
candle lighting,other,3,1
dj equipment rentals & sound,dj,3,1
marquee extension for lunch,other,3,1
djs & vibe curators,dj,3,3
cannolis,other,3,3
may,other,3,3
booked through,other,3,2
dog,other,3,2
booth,other,3,1
mehndi decor,rentals,3,2
don’t forget to visit our friends,other,3,3
men’s stylist,other,3,1
men’s wear,other,3,1
doughnuts,other,3,2
drape,other,3,2
car rental,rentals,3,3
drapery + lighting,other,3,2
carasco,other,3,1
mixology,other,3,1
caricature drawings,other,3,1
draping + rentals,rentals,3,1
carpet and drape,other,3,1
cart rental,rentals,3,1
case in point,other,3,3
move me soul,other,3,1
muntu dance theatre,other,3,1
dresses for guests,attire,3,2
dressing,attire,3,1
cater,catering,3,2
dressing location,attire,3,3
najwa dance corps,other,3,1
alex’s ring,jeweler,3,1
drummers,other,3,1
catering & beverage,catering,3,2
edited by,other,3,3
backline,other,3,1
a behind,other,3,3
officiant + dj,dj,3,1
on site stationery,stationery,3,1
elevated rentals,rentals,3,3
online platform support,other,3,1
email,other,3,2
organization,other,3,2
other dessert,cake,3,1
catering and venue,venue,3,2
catering friday,catering,3,1
paebaek,other,3,1
caviar,other,3,3
painted trays,other,3,1
parking attendant,other,3,1
partial planning,planner,3,1
bridal dress designer,attire,3,3
party favors,other,3,1
party lights,other,3,1
arch designer,other,3,1
center stage + dance floor,other,3,1
bridal dresser,attire,3,1
performances,other,3,1
ceremony & reception location,other,3,3
pet care,other,3,2
phone booth,other,3,2
photo & film,photographer,3,1
event decorations,rentals,3,3
photo cred,photographer,3,3
photo credits,photographer,3,2
event for,other,3,2
event hosts,other,3,3
photo+video,photographer,3,1
photobooth & audio guestbook,photobooth,3,1
photobooth & content creator,photobooth,3,1
event photographer,photographer,3,3
photobooth rental,photobooth,3,1
photograph,photographer,3,3
event planners,planner,3,3
event planning & coordination,planner,3,1
photographed for,photographer,3,3
event planning + design,planner,3,2
event signage,other,3,2
event space,other,3,3
balloon arch,other,3,1
event support,other,3,3
photography assistant,photographer,3,2
ceremony florals,florist,3,2
photos & video,photographer,3,3
ceremony location,venue,3,3
family hair & makeup,hair,3,1
ceremony music & band,band,3,1
photos shot by my amazing friends,photographer,3,3
fashion + attire,attire,3,3
ceremony photographer,photographer,3,1
ceremony photos,photographer,3,1
piaggio,other,3,1
feature,other,3,3
featured photographers,photographer,3,3
bridal hairstylist,hair,3,2
bridal hmua,beauty_other,3,3
planner and officiant,planner,3,1
film developing,videographer,3,1
ceremony venue holy name cathedral,venue,3,1
film photo,photographer,3,3
bridal jewelry,attire,3,3
planner megan estrada,planner,3,1
fine rentals,rentals,3,1
chaat wala,other,3,1
chai,other,3,1
planning and creative direction,planner,3,3
planning and floral design,planner,3,2
planning by one and only,planner,3,3
band + cocktail musicians,band,3,1
chai cart,other,3,3
plates,other,3,2
portrait station,other,3,2
flawless skin,other,3,1
floor drapery,other,3,1
pr,other,3,1
chalkboard artist,other,3,1
champagne,other,3,3
presented by yazz events,other,3,3
bridal mua,beauty_other,3,1
floral & draping,florist,3,2
presets,other,3,1
floral & installation,florist,3,1
floral + catering,florist,3,2
prints,other,3,1
floral + concept,florist,3,1
private chef,other,3,2
privileged to spend saturday w,other,3,3
pro tip,other,3,3
production assistant,other,3,3
floral and lighting,florist,3,1
champagne wall,other,3,2
production support,other,3,1
programs,other,3,2
floral by,florist,3,1
bridal party attire,attire,3,1
publisher,other,3,3
band and dj,band,3,3
charcuterie styling,other,3,1
floral preservation,florist,3,3
rebecca & kathryn styling,other,3,1
bridal party by,attire,3,3
floral+ design,florist,3,1
reception location,venue,3,3
florals & planning,planner,3,3
florals + design,florist,3,3
reception venue hilton chicago,venue,3,1
reel,other,3,2
florals and design,florist,3,2
rehearsal dinner catering,catering,3,1
rehearsal transportation,transportation,3,1
rental + linens,rentals,3,3
florist + design,florist,3,1
after party dress,attire,3,2
rentals & tablescapes,rentals,3,3
rentals & tent,rentals,3,2
rentals + linens,rentals,3,2
rentals and custom designs,rentals,3,1
bridal prep,attire,3,1
restroom rental,rentals,3,1
flower software,florist,3,1
flowers & decor,florist,3,2
flowers and design,florist,3,3
rogersparkflorist,florist,3,1
choreographer,other,3,3
sari,other,3,1
saturday second shoes,attire,3,1
saturday shoes,attire,3,1
forward momentum chicago,other,3,1
freelance floral assistance,florist,3,1
bridalwear,attire,3,1
friday dress,attire,3,1
classic car,other,3,2
friday shoes,attire,3,1
second shooting for,other,3,2
bride & bridal party makeup by,makeup,3,3
service staff,other,3,1
session & gala dinner staging,catering,3,1
artists’ gowns,attire,3,1
furniture & linens,rentals,3,2
furniture and linens,rentals,3,1
gaffer,other,3,2
cocktail hour music,musician,3,3
gelato cart,other,3,3
getaway suv,other,3,3
coffee & tea,other,3,1
getting ready gown,attire,3,1
getting ready robe,other,3,1
social media content creator,content_creator,3,1
social media curator,other,3,1
soft play,other,3,1
bar sign,other,3,2
soloist,other,3,1
sound & av,other,3,3
sound & lighting,other,3,1
glasshouse a,other,3,1
sounds,other,3,3
artists’ mua,beauty_other,3,1
baraat car,other,3,2
sparklers and dancing in clouds,other,3,1
baraat horse,other,3,2
artists’ styling,other,3,1
community orchestra convening,other,3,3
special thanks to,other,3,3
specialty furniture,other,3,3
concierge meteorologist,other,3,1
gown + suit,attire,3,3
alpaca,other,3,1
ssp couple,other,3,3
staff travel & rental cars,rentals,3,1
stage & mandap,other,3,1
staging + lighting,other,3,1
barber,other,3,3
stationary & signage,stationery,3,3
barber services,other,3,1
stationery + signage,stationery,3,3
stay well,other,3,3
congratulations,other,3,3
store,other,3,1
contact us,other,3,3
string duo,jeweler,3,1
strings + band,band,3,1
content by me for,videographer,3,1
groom and groomsmen,other,3,1
styling by,other,3,2
bride’s accessories,other,3,3
styling mat,other,3,1
groom outfit,attire,3,1
bartenders,other,3,2
suit shirt,attire,3,1
suite,attire,3,3
groom’s attire kimono,attire,3,3
sweet treat,other,3,1
sweets station,other,3,1
swimwear,other,3,1
sydney’s hair,hair,3,1
sydney’s makeup,makeup,3,1
table,other,3,3
table decor,rentals,3,3
table numbers,other,3,3
tarot,other,3,1
tattoo artist,other,3,2
groomsmen’s suits,attire,3,1
teamwork,other,3,3
tent & accessories,other,3,1
tent & rentals,rentals,3,2
text service,other,3,1
guest illustrations,other,3,1
bbj,other,3,1
also on deck,other,3,3
that’s a wrap for the ann arbor,other,3,3
thc bar,other,3,1
the bridal makeup,makeup,3,1
the bridal outfit,attire,3,1
the cake,cake,3,1
the coordinators,planner,3,1
the couple,other,3,3
guided hike,other,3,1
the dinner,catering,3,1
the era footwork collective,other,3,1
guitar,other,3,2
the garlands,other,3,1
the hair,hair,3,1
the joinery,other,3,2
the outfit,attire,3,1
the shoes,attire,3,2
the sold,other,3,3
cover credits,other,3,3
hair and makeup bianca,hair,3,1
tiktok,other,3,1
transporation,other,3,2
transport of materials and goods,transportation,3,1
trevor harris,other,3,1
hair juan jose herrera,hair,3,1
beautiful couple,other,3,3
hair stylist & make,hair,3,3
update,other,3,3
uplighting,other,3,2
valet & coat check,other,3,1
van,other,3,1
veil & hair accessories,hair,3,1
creative coordinator,planner,3,1
vendor highlight of the week,other,3,3
handkerchiefs,other,3,2
creator,other,3,1
hannah’s hair,hair,3,1
venue + floral,venue,3,1
venue and planning,venue,3,3
venue design,venue,3,1
venue friday marriott marquis,venue,3,1
alyssa + mikey,other,3,3
venue name,venue,3,2
bride’s veil,other,3,2
video & content creation,videographer,3,3
head table vases,other,3,1
curated by,other,3,2
curated by chef,other,3,1
videobooth,videographer,3,1
videography by,videographer,3,3
her wedding ring,jeweler,3,1
assistants,other,3,3
vintage porsche,other,3,1
his wedding ring,jeweler,3,1
violins,other,3,3
custom details,other,3,3
hospitality,other,3,3
we partnered with,other,3,3
we were proud to host scratching,other,3,3
custom fabrication & design,other,3,1
host planner & designer,planner,3,1
host videographer,videographer,3,1
hotel + venue,venue,3,2
hotel blocks,hotel,3,3
custom gown,attire,3,2
wedding design & planning,planner,3,1
wedding designer,other,3,2
brides hair,hair,3,3
brides makeup,makeup,3,3
wedding dress boutique,attire,3,1
wedding dress ceremony and reception,attire,3,1
custom installations,other,3,1
wedding earrings,jeweler,3,1
i love doing an amuse,other,3,3
wedding invitations,stationery,3,2
wedding photography & videography,photographer,3,2
custom menswear,attire,3,1
wedding stationery,stationery,3,2
wedding storefront,other,3,1
custom ring design,jeweler,3,1
immersions,other,3,1
welcome party catering,catering,3,1
welcome sign art,other,3,2
where,other,3,3
wholesale flowers,florist,3,1
wholesalers,other,3,3
customized veil,other,3,1
bridesmaid hair,hair,3,2
wlww,other,3,1
cutting cake,cake,3,1
workshop education team,other,3,3
invitation designer,stationery,3,2
youtube,other,3,1
zaffa,other,3,1
bridesmaid’s dresses,attire,3,2
invitations & day,stationery,3,3
invites + day of stationery,stationery,2,1
behind,other,2,2
staci & jake,other,2,2
rehearsal hair & makeup,hair,2,1
lighting & tech,other,2,1
rehearsal dinner shoes,attire,2,1
registration sponsor,other,2,1
cheese wheel cake,cake,2,1
brides shoes,attire,2,2
band l beatrix chicago,band,2,2
reception venue name,venue,2,2
stage rental,rentals,2,1
cheers to,other,2,2
lighting & staging,other,2,1
cheeks,other,2,2
florals & production,florist,2,2
stars,other,2,2
start the morning with beat,other,2,2
florals & lighting,florist,2,1
wedding host,other,2,1
florals & candles,florist,2,1
confections,other,2,2
design + art production,other,2,2
conference,other,2,1
stationary + signage,stationery,2,2
reception dinner catering,catering,2,1
stationary designer,stationery,2,1
invites & menus,other,2,1
reception chairs,hair,2,2
floral wholesaler,florist,2,2
floral supplier,florist,2,1
floral purses,florist,2,2
floral production,florist,2,2
charger plates,other,2,1
congrats,other,2,2
rabbi,other,2,2
quartet and band,band,2,1
lighting & rentals,rentals,2,2
graphic design & print items,other,2,1
stationery and paperie,stationery,2,1
charcuterie board,other,2,1
pup chaperone,other,2,1
congrats again,other,2,2
graphic design & signage,other,2,1
publicity,other,2,1
lighting & photo booth,photobooth,2,2
stds,other,2,2
graphic display and fabrication,other,2,1
chandeliers,other,2,1
steel drums,other,2,2
congrats to,other,2,2
graphics,other,2,2
beverage service,other,2,1
congratulations to our favorite city,other,2,2
chandelier rental,rentals,2,1
proud mom,other,2,2
bride second look shoes,attire,2,1
as seen on,other,2,1
green wall,other,2,1
bride side photographer,photographer,2,1
lighting & dance floor,other,2,2
story & narration,other,2,2
lighting & a v,other,2,1
ice cream bar,other,2,2
floral desgin,florist,2,2
contact us at info,other,2,2
props,other,2,1
band and cocktail music,band,2,2
bride social media,other,2,2
floral collaborator,florist,2,1
wedding painter,other,2,1
ashley & robert's grand dame by,other,2,2
programs director,other,2,1
strings trio,musician,2,2
grip,other,2,2
structure & flooring,jeweler,2,1
floral assistants,florist,2,2
floral and production,florist,2,1
floral and designs,florist,2,2
floral and decor design,florist,2,2
production + custom video projection,videographer,2,2
studio space,other,2,1
studio this is,other,2,2
lightening,other,2,1
design & florist,florist,2,1
production & lighting,other,2,1
production & event design,other,2,2
groom car,other,2,1
production & av,other,2,2
bride wedding shoes,attire,2,1
producer,other,2,2
styled shoot for,other,2,2
produced by,other,2,2
groom hair,hair,2,1
printed material,other,2,1
styling & rentals,rentals,2,1
content creater,videographer,2,2
print materials,other,2,1
bridal nikkah outfit,attire,2,2
beverage partner,other,2,1
styling concept,other,2,1
lens,other,2,2
wedding party shuttle,other,2,1
floral & production,florist,2,2
floral & plants,florist,2,1
stylist & set designer,other,2,1
stylist assistant,other,2,1
president,other,2,1
stylists,other,2,2
such a wonderful weekend capturing,jeweler,2,2
flora,florist,2,2
led wall & production,other,2,2
but that’s how today ended,other,2,2
suit attire,attire,2,2
groom side photographer,photographer,2,1
suit designer,attire,2,2
suit father,attire,2,1
suit groom,attire,2,1
suit guests,attire,2,1
groom social media,other,2,2
learn more at,other,2,2
prep,other,2,2
ice sculptures,other,2,1
bridal mini dress,attire,2,1
chairs + bars,hair,2,1
suitwear,attire,2,2
flatware rentals,rentals,2,1
post ceremony venue,venue,2,1
content creations,videographer,2,2
posing coach,other,2,1
groom wedding tuxedo,attire,2,1
flatware,other,2,2
portraits location,other,2,2
chairs & linens,hair,2,1
groom’s & groomsmen’s tuxes,attire,2,2
chairs & chargers,hair,2,1
poolside jersey boys show,other,2,2
icecream,other,2,2
swag bag partners,other,2,2
groom’s dinner jacket,catering,2,1
groom’s formalwear,other,2,1
polaroid,other,2,1
leah’s dress,attire,2,2
groom’s reception jacket,other,2,1
sweetheart cake,cake,2,1
podium and place cards,other,2,1
podcast,other,2,1
sweets & food details,catering,2,1
sweets & late night food,catering,2,2
plateware,other,2,2
bridal makeup & hair by me,hair,2,2
invite suite,attire,2,1
first photo,photographer,2,2
iconic wedding reception decor by,rentals,2,2
sydney’s attire,attire,2,1
agency,other,2,2
invite,other,2,2
planning design,planner,2,1
custom menus,other,2,1
planning and styling,planner,2,2
first dress,attire,2,2
planning and coordination,planner,2,2
lead photo,photographer,2,2
groom’s tie,other,2,1
planning and concept,planner,2,2
groom's tux,attire,2,2
first dance natalia,other,2,1
table linens,rentals,2,2
planning + florlas,planner,2,2
wedding planner carolyn flueckiger,planner,2,1
table rentals,rentals,2,2
groom’s tux & shoes,attire,2,1
first dance,other,2,2
table settings,other,2,1
planning + creative direction,planner,2,1
groom’s watch,other,2,2
planning & signage,planner,2,1
filmmakers,videographer,2,2
planning & design + paper florals,planner,2,1
planning & creative design,planner,2,1
tables & chairs,hair,2,2
planning & coordinator,planner,2,2
grooming,other,2,2
filmed by,videographer,2,1
planner&concept,planner,2,1
certifications,other,2,2
tablescape stylist,other,2,1
a weekend celebrating the love of,other,2,2
ceremony violinist,other,2,2
planner michelle durpetti,planner,2,1
tabletop & linens,rentals,2,1
planner linda alpert,planner,2,2
planner l lk events,planner,2,2
film photography,photographer,2,2
ceremony venue & reception venue,venue,2,2
planner and designer,planner,2,1
planner and design,planner,2,1
tabletop vintage rentals,rentals,2,1
film developed and scanned by,videographer,2,1
planner allana amira,planner,2,1
bridal jewellery,attire,2,1
planner & photo booth,photobooth,2,1
fell behind on sharing some blog,jeweler,2,2
planner & couple,planner,2,2
planner & coordinator,planner,2,1
bridal headpiece,attire,2,2
ceremony singer,other,2,1
place settings,other,2,1
bride’s ceremony dress & veil,attire,2,2
pizzica band,band,2,1
featured in,other,2,2
balloons and flowers,florist,2,1
lauren’s dress,attire,2,2
tarot card reader,other,2,1
pictured with more pinups,other,2,2
coordinador,other,2,1
pictured,other,2,2
wedding planner suzy sparacio,planner,2,1
pics,other,2,1
bride’s ceremony gown alyne,attire,2,2
photos taken for,photographer,2,2
groomsmen tux designer,attire,2,2
bride's dress,attire,2,2
ceremony music + dj,dj,2,2
family vehicle,other,2,1
laura,other,2,1
tea for two,other,2,2
photos from,photographer,2,2
team hair & makeup,hair,2,1
bev,other,2,2
tech + lighting,other,2,2
family beauty,beauty_other,2,2
fairlie's all,other,2,2
face,other,2,2
fabrics installations,other,2,1
bride’s dress designer,attire,2,2
ceremony hmua,beauty_other,2,2
temple,other,2,1
ceremony guitarist,other,2,1
late night sax,musician,2,1
tent & lighting,other,2,2
late night dessert,cake,2,1
ceremony gown,attire,2,2
balloon design,other,2,2
guest accommodations,other,2,2
photography team,photographer,2,1
tent rentals,rentals,2,1
expect a multi,other,2,2
tenting & flooring,jeweler,2,1
arlen music,musician,2,2
bridal gown & welcome party dress,attire,2,1
wedding planning + design,planner,2,2
photography & drone images,photographer,2,1
photography & cinema,photographer,2,2
thank you,other,2,2
event stylist & planner,planner,2,1
ashley & sean,other,2,2
last weekend our co,other,2,2
ceremony band,band,2,2
event staffing,other,2,1
a feast for the senses,other,2,2
brides’ hair & makeup,hair,2,1
thank you to the following,other,2,2
decor design and florals,florist,2,1
event production,other,2,2
costume,other,2,1
brides’ shoes,attire,2,1
guest shuttles,other,2,1
event producers,other,2,2
last but not least from mexico,other,2,2
photographer & host,photographer,2,1
the amazing couple,other,2,2
a look back to earlier this month,other,2,2
ceremony and cocktail hour quartet,other,2,1
the bouquet,other,2,1
behind the scenes content by,videographer,2,1
decor concept,rentals,2,2
the bridal suite,attire,2,1
photog credit and videos,photographer,2,2
the buonavolantos,other,2,2
decor and lighting,rentals,2,2
event photography,photographer,2,2
the competition,other,2,2
ceremony and cocktail entertainment,dj,2,2
bts content creation,videographer,2,1
invitation & day of paper,stationery,2,1
guests,other,2,2
belle isle fountain,other,2,1
event manager,other,2,2
event management & planning,planner,2,1
event linens & rentals,rentals,2,1
kristin’s dress,attire,2,2
the dj,dj,2,1
event feature,other,2,2
the dress,attire,2,2
illustration,other,2,1
the excitement is building for emily,other,2,2
the first,other,2,2
korean tea ceremony,other,2,1
all photos developed and scanned by,photographer,2,2
bride’s gowns,attire,2,2
kirby’s dresses,attire,2,2
gushers table,other,2,1
photo design & florals,photographer,2,1
kids play area,other,2,1
photo credit + creative,photographer,2,1
photo by yours truly,photographer,2,1
the henna artist,other,2,1
ceremony + decor florals,florist,2,1
h & m,other,2,2
the jewelry,jeweler,2,1
decor & fresh florals,florist,2,1
bridal glam,attire,2,1
photo backdrop,photographer,2,1
photo assistants,photographer,2,2
photo and film,photographer,2,2
photo and cinema team,photographer,2,1
photo + cover image,photographer,2,2
photo & cover,photographer,2,1
couple's handles,other,2,2
architectural boat tour,other,2,1
bridal florals,florist,2,2
couples portraits,other,2,1
the nikkahnama,other,2,1
ily,other,2,2
phonebox audio guestbook,other,2,1
evening venue,venue,2,1
the photos,photographer,2,2
petcare,other,2,1
the planner,planner,2,1
evening gown,attire,2,1
evening catering,catering,2,1
the ring tray,jeweler,2,1
invitation calligraphy,stationery,2,2
bridal entrance song,attire,2,2
decor & drapery,rentals,2,1
pet attendants,other,2,1
personal florals,florist,2,1
permanent jewelry,jeweler,2,1
espresso,other,2,2
the tuxes,attire,2,2
performer,other,2,2
bridal dresses,attire,2,2
escort cards + table numbers,other,2,1
pedestal rentals,rentals,2,2
pearl bar,other,2,1
the welcome sign,other,2,1
equipment,other,2,1
assessoria por,other,2,2
bride’s hair lauren hughes,hair,2,1
immediate past president,other,2,2
celebrating one year ago today,other,2,2
these two were one of my first,other,2,2
party vibezzzz,other,2,2
hair + make,hair,2,1
third photographer,photographer,2,1
entertainment violinist + dj,dj,2,2
party makeup,makeup,2,2
hair + makeup by,hair,2,1
party guest photo,photographer,2,1
hair + makeup stylist,hair,2,2
park,other,2,2
parents,other,2,2
entertainment cocktail hour,dj,2,1
bride’s headpiece,other,2,2
entertainment bko,dj,2,1
paperie,stationery,2,2
bakery & desserts,cake,2,2
this week is crazy for our family,other,2,2
paper good,stationery,2,1
entertainment & photobooth,photobooth,2,1
entertainment & dance lessons,dj,2,1
invitations+ stationery,stationery,2,1
entertainer,other,2,2
enjoy a candle,other,2,2
a very special sunday donation,other,2,2
engagement session location,other,2,2
over a year in the making,other,2,2
ties,other,2,1
in,other,2,2
bride’s look,other,2,2
engagement ring & bands,band,2,1
our supper club swing,other,2,2
apparel,other,2,2
our bride and groom,other,2,2
to allison & will,other,2,2
hair andmakeup,hair,2,1
our beautiful couple,other,2,2
our amazing couple,other,2,2
other desserts,cake,2,1
other bridal wear,attire,2,1
tonight,other,2,2
catering and rentals,catering,2,2
bride’s makeup joanna bastermajian,makeup,2,1
top,other,2,2
altier,other,2,1
cover shoot for,other,2,1
email us to schedule a tour,other,2,1
catering + venue,venue,2,2
one,other,2,2
elegant weddings & events,other,2,2
okay but actually,other,2,2
kegways,other,2,1
aerialist,other,2,2
brunch catering,catering,2,1
catering + coordination,planner,2,1
bridal assistant,attire,2,1
transportation and valet,transportation,2,1
educator,other,2,1
travel,other,2,2
nuage designs,other,2,1
bridal accessoires,attire,2,1
cream blush,other,2,2
nonprofit,other,2,1
trees,other,2,1
decor & bridal makeup,makeup,2,2
trio,other,2,2
nikkah photographer,photographer,2,2
trolley and shuttles,other,2,1
karaoke dj,dj,2,1
catering & bev,catering,2,2
catering & bar service,catering,2,1
a picture,other,2,2
duo,other,2,1
hair sandra,hair,2,1
caterering,catering,2,2
next,other,2,2
drum,other,2,1
new italian,other,2,2
tux & shoes,attire,2,1
brass band,band,2,2
necklace,other,2,2
drone photo,photographer,2,1
napkins & linens,rentals,2,1
drinks pony,catering,2,1
kanafeh,other,2,1
hair stylist & make up artist,hair,2,1
brandon’s wedding attire,attire,2,2
two,other,2,2
bride’s reception dress allure,attire,2,2
hair stylist and makeup artist,hair,2,1
nail tech,other,2,2
branding,other,2,1
caterer & dessert,cake,2,1
ube desserts,cake,2,1
catere & reception siter,catering,2,1
music entertainment + photobooth,photobooth,2,1
hair+ makeup,hair,2,1
hair+makeup,hair,2,2
hair+mua,hair,2,2
dressing & reception,attire,2,2
amaaazing planner,planner,2,2
welcome party band,band,2,1
haircut,hair,2,1
music & photo booth,photobooth,2,1
back end business support,other,2,2
invitation design,stationery,2,1
mus,other,2,2
multi,other,2,2
muah artist main couple,beauty_other,2,2
creative concept by,other,2,2
welcome party favors,other,2,1
muah artist guest couples,beauty_other,2,1
vases,other,2,1
mua+hair,hair,2,1
junior producers,other,2,2
mua and hair,hair,2,1
veil by,other,2,1
beautiful photos by,photographer,2,2
veils,other,2,2
braids by,other,2,1
mother of the bride dress,attire,2,1
custom suit,attire,2,2
dress rentals,attire,2,1
morning venue,venue,2,1
associate studio photographer,photographer,2,1
baarat car,other,2,1
more newlywed news this week,other,2,2
more italy for your feed today,other,2,2
