 candidate_id |        username         |                                                                                        caption                                                                                        
              |                         | Planning your own? Book now with Pin Me Up Chicago!                                                                                                                                  +
              |                         |                                                                                                                                                                                      +
              |                         | Hair & Makeup: @pinmeupchicago                                                                                                                                                       +
              |                         |                                                                                                                                                                                      +
              |                         | Photographer: @elena_usa_photographer                                                                                                                                                +
              |                         | Venue: @thewellsley                                                                                                                                                                  +
              |                         | W
         1706 | thewellsley             | Emily and Bradley                                                                                                                                                                    +
              |                         |                                                                                                                                                                                      +
              |                         | Venue @thewellsley                                                                                                                                                                   +
              |                         | Planner @sholehevents                                                                                                                                                                +
              |                         | Photo @elena_usa_photographer                                                                                                                                                        +
              |                         | Muah @pinmeupchicago                                                                                                                                                                 +
              |                         | Catering @bokacateringchicago                                                                                                                                                        +
              |                         | Florist @trablume                                                                                                                                                                    +
              |                         | DJ @theovation
         2390 | thewellsley             | Emily & Mark in Chicago                                                                                                                                                              +
              |                         |                                                                                                                                                                                      +
              |                         | #chicagoweddingphotographer #chicagowedding                                                                                                                                          +
              |                         |                                                                                                                                                                                      +
              |                         | Venue @thewellsley                                                                                                                                                                   +
              |                         | Planner @leighandcoevents                                                                                                                                                            +
              |                         | Hair/Makeup @erinsmithbeautycreations                                                                                                                                                +
              |                         | Gown @truesociety                                                                                                                                                                    +
              |                         | Flow
         2754 | thewellsley             | Who says a wedding has to feel like a wedding?                                                                                                                                       +
              |                         |                                                                                                                                                                                      +
              |                         | When your love language is steak frites and date nights at your favorite neighborhood restaurant, the only answer is a chic dinner p
         3059 | thewellsley             | Every detail of Jack & Diana’s wedding was ✨beyond✨, and we were thrilled to be a part of it! ⁠                                                                                     +
              |                         | ⁠                                                                                                                                                                                     +
              |                         | Vendor Love: ⁠                                                                                                                                                                        +
              |                         | Photo: @collinpierson⁠                                                                                                                                                                +
              |                         | Catering: @bokacateringchicago                                                                                                                                                       +
              |                         | Planning: @md
           70 | venuelogic              | 🤵🏻‍♂️Mr & Mrs👰🏼‍♀️                                                                                                                                                                   +
              |                         |                                                                                                                                                                                      +
              |                         | Photography: @chadhusar @studiothisisphotography                                                                                                                                     +
              |                         | ⁣Planner: @Bigcitybride @ArinBusch                                                                                                                                                    +
              |                         | Venue: Bridgeportartcenter @venuelogic                                                                                                                                               +
              |                         | Hair + MU: @Blohaute Joey Claeyssen                                                                                                                                                  +
              |                         | V
           70 | venuelogic              | I’m seeing everywhere that bows are “in” for 2024 wedding season and I couldn’t be more excited. 🎀                                                                                  +
              |                         |                                                                                                                                                                                      +
              |                         | Photography: @chadhusar @studiothisisphotography                                                                                                                                     +
              |                         | ⁣Planner: @Bigcitybride @ArinBu
         1580 | venuelogic              | So much fun on the dance floor 🕺🏼                                                                                                                                                  +
              |                         |                                                                                                                                                                                      +
              |                         | Planning: @bigcitybride @arinbusch                                                                                                                                                   +
              |                         | Venue: @venuelogic                                                                                                                                                                   +
              |                         | Photography: @studiothisisphotography                                                                                                                                                +
              |                         | DJ: @thedjfirm
         1733 | venuelogic              | Celebrating love, culture, and resilience, guided always by honesty and transparency.                                                                                                +
              |                         |                                                                                                                                                                                      +
              |                         | This beautiful couple’s wedding was a heartfelt tapestry of tradition and joy, thoughtfully c
         2956 | venuelogic              | Black and white photography brings a timeless elegance to weddings, even amidst vibrant Indian festivities. 🌟 Capturing the intricate details and emotions in monochrome allows the 
         2995 | venuelogic              | This is not an easy post to write, but transparency matters.                                                                                                                         +
              |                         |                                                                                                                                                                                      +
              |                         | We planned alongside A. & A. for over a year, honoring his Indian heritage and her Polish traditions through countles
(31 rows)

