post_url,parser_version,line_no,handle,label_raw,old_role,new_role,old_rule_id,new_rule_id
"https://www.instagram.com/p/DYXRrlDBeGt/","stack-parser-ts-v10",9,"suitsupply","Groom’s Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DYXRrlDBeGt/","stack-parser-ts-v10",10,"ferragamo","Groom’s Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/DYXRrlDBeGt/","stack-parser-ts-v10",11,"blackhalo","Bridesmaids’ Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DYXRrlDBeGt/","stack-parser-ts-v10",11,"bloomingdales","Bridesmaids’ Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DYyDJbykz5O/","stack-parser-ts-v10",6,"savyschic","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYyJr8FlX0x/","stack-parser-ts-v10",7,"vwidon","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYyP9TbDLcM/","stack-parser-ts-v10",6,"kleinfeldbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYzgn0JANJJ/","stack-parser-ts-v10",12,"weddings826","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYzgn0JANJJ/","stack-parser-ts-v10",13,"generationtux","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DYzkRRNFhlY/","stack-parser-ts-v10",10,"robertnoia","Wedding Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYzkRRNFhlY/","stack-parser-ts-v10",11,"eliesaabbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYznzT4EeIS/","stack-parser-ts-v10",12,"dimitrasbridalcouture","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYznzT4EeIS/","stack-parser-ts-v10",12,"ivanyongcouture","Gown","attire","wedding_dress","exact","exact"
