candidate_id,matched_wedding_id,venue_handle,candidate_date,ben_wedding_date,date_delta_days,vendor_jaccard,candidate_post_count,ben_wedding_post_count,jeremy_post_urls,ben_wedding_post_urls,candidate_vendors,ben_wedding_vendors
2308,601,"fairliechicago",2026-06-03,2026-05-30,4,0.142857,1,1,"https://www.instagram.com/p/DZGl2YDFH7k/","https://www.instagram.com/p/DY9yM66kurM/","florist: @ourblessedwoods | photographer: @lar__photography | planner: @plan_and_gather_events | venue: @fairliechicago","venue: @fairliechicago | planner: @urbanallureevents | photographer: @goldenhoursweddings | catering: @heartyboys"
2310,782,"rm1520",2026-06-03,2026-07-03,30,0.125,1,1,"https://www.instagram.com/p/DZG3g-9Bcin/","https://www.instagram.com/p/DaV0ImElKI8/","catering: @ovysignaturecatering | dj: @toastandjamdjs | florist: @stevesflowermarket | hair: @anomaliebeautyagency | musician: @jeffrey.tsax | photographer: @laurenelizabethphotography_ | planner: @reverieandcoevents | rentals: @ashlandaddison | rentals: @tablescapeseventrentals | venue: @rm1520 | videographer: @edwardfoxphotog","venue: @rm1520 | planner: @reverieandcoevents | photographer: @kate_scott_photography | dj: @djrhatedr | catering: @greenspoonkitchen | photobooth: @grinandbearbooth | other: @bittersweetpastryshop"
2314,702,"cityhallchicagoevents",2026-06-03,2026-06-21,18,0.0666667,1,2,"https://www.instagram.com/p/DZIl4bnEkai/","https://www.instagram.com/p/DZ2hthtRkMg/ | https://www.instagram.com/p/DZ3L80iCeuM/","attire: @bridesbyyoung | attire: @chanelofficial | attire: @giuseppezanotti | attire: @theblacktux | cake: @dipsydesserts | catering: @kumascatering | florist: @xodesign_co | hair: @pinmeupchicago | hotel: @virginhotelschi | jeweler: @brilliantearth | jeweler: @kenanddanadesign | jeweler: @tiffanyandco | photographer: @kingandopal | rentals: @arcanarentals | rentals: @bbjlatavola | venue: @cityhallchicagoevents","venue: @cityhallchicagoevents | planner: @rz.pao | planner: @shh.events | planner: @vanessa__delaney | videographer: @blushandbriarfilms | florist: @athanasiadesign | hair: @hair_by_paulinagonzalez | hair: @lilymeloskinandbeauty | hair: @pinmeupchicago | makeup: @lilymeloskinandbeauty | dj: @okynegroup | attire: @crystalbrideofficial | attire: @menswearhouse | catering: @blueplatechicago | transportation: @partybuschicagoemperor | other: @yellowshoeseventrentals"
2316,756,"chicagoilluminatingcompany",2026-06-04,2026-06-29,25,0.0833333,1,2,"https://www.instagram.com/p/DZJMnS9jY8J/","https://www.instagram.com/p/DafstVCD6e3/ | https://www.instagram.com/p/DaLTDmFx7au/","hair: @rarebirdbeauties | photographer: @kerricarlquist | planner: @bigcitybride | planner: @hansenmadison | rentals: @revel_decor | venue: @chicagoilluminatingcompany | videographer: @braxtonwallisweddings","venue: @chicagoilluminatingcompany | planner: @reverieandcoevents | photographer: @brookeanddavid | videographer: @aforevermore.co | videographer: @ecbg_studio | florist: @aforevermore | florist: @frostchicago | florist: @revel_decor | hair: @lueurbeauti | dj: @thedjfirm | cake: @ecbg_studio | cake: @frostchicago | catering: @jandlcatering | rentals: @revel_decor | rentals: @tablescapeseventrentals | hotel: @magmilemarriott | beauty_other: @lueurbeauti | other: @chicagoilluminatingcompany | other: @magmilemarriott"
2320,733,"thedrakechicago",2026-06-05,2026-06-26,21,0.0526316,1,3,"https://www.instagram.com/p/DZLoREWDWTF/","https://www.instagram.com/p/DadFZpakav_/ | https://www.instagram.com/p/DaDJpDcEYtP/ | https://www.instagram.com/p/DaEIiqwFLbg/","hair: @magnificentbrides | makeup: @coreyegge | musician: @rushstreetrhythm | photographer: @leathemphotography | planner: @tracyevents | rentals: @vh__designs | venue: @thedrakechicago | videographer: @oldnorthfilmco","venue: @thedrakechicago | planner: @ohanaeventsinc | photographer: @graphsbygretch | videographer: @oakhouseweddingfilms | florist: @stevesflowermarket | dj: @dreamhouseproductions | musician: @andromedaduet | musician: @dbe.off | musician: @dbe.official | cake: @ecbg_studio | jeweler: @andromedaduet | beauty_other: @brow_art_salon_spa_1 | beauty_other: @lueurbeauti"
2321,733,"thedrakechicago",2026-06-05,2026-06-26,21,0.0625,1,3,"https://www.instagram.com/p/DZLu4r5AR92/","https://www.instagram.com/p/DadFZpakav_/ | https://www.instagram.com/p/DaDJpDcEYtP/ | https://www.instagram.com/p/DaEIiqwFLbg/","beauty_other: @pinmeupchicago | florist: @valeofenna | photographer: @nakaiphotography | planner: @plan_and_gather_events | venue: @thedrakechicago","venue: @thedrakechicago | planner: @ohanaeventsinc | photographer: @graphsbygretch | videographer: @oakhouseweddingfilms | florist: @stevesflowermarket | dj: @dreamhouseproductions | musician: @andromedaduet | musician: @dbe.off | musician: @dbe.official | cake: @ecbg_studio | jeweler: @andromedaduet | beauty_other: @brow_art_salon_spa_1 | beauty_other: @lueurbeauti"
2322,1096,"the.arbory",2026-06-05,2026-08-04,60,0.818182,1,1,"https://www.instagram.com/p/DZL1ysggKY_/","https://www.instagram.com/p/DbmVlONFmOh/","cake: @flourishcakedesign | catering: @violas.kitchen | florist: @eco.wilde | florist: @ecowildweddings | hair: @tamaraholdenhair | makeup: @alyssadianamakeup | photographer: @genuinelyjo | planner: @theeventchi | venue: @the.arbory | videographer: @brookssmedia","venue: @the.arbory | planner: @theeventchi | photographer: @genuinelyjo | videographer: @brookssmedia | florist: @eco.wilde | florist: @ecowildeweddings | hair: @tamaraholdenhair | makeup: @alyssadianamakeup | cake: @flourishcakedesign | catering: @violas.kitchen"
2331,982,"chicagoilluminatingcompany",2026-06-06,2026-07-27,51,0.75,1,3,"https://www.instagram.com/p/DZOXVCVlGGG/","https://www.instagram.com/p/Db4RY6vDTX0/ | https://www.instagram.com/p/Dbb-_APjbUU/ | https://www.instagram.com/p/DbUJILnhOIV/","beauty_other: @windycityglam | catering: @violas.kitchen | florist: @ashaddevents | hotel: @marquis_chicago | photographer: @goldenhoursweddings | planner: @simplyelegantxo | transportation: @the312limo | venue: @chicagoilluminatingcompany | videographer: @goldenhoursweddings | videographer: @okynemedialab","venue: @chicagoilluminatingcompany | planner: @simplyelegantxo | photographer: @goldenhoursweddings | videographer: @goldenhoursweddings | videographer: @okynemedialab | florist: @ashaddevents | catering: @violas.kitchen | transportation: @the312limo | hotel: @marquis_chicago | beauty_other: @windycityglam | other: @blimsanity1 | other: @iiisshaxx"
2337,1075,"universityclubofchicago",2026-06-08,2026-08-03,56,0.615385,1,2,"https://www.instagram.com/p/DZTbkepDnD_/","https://www.instagram.com/p/DblbK9qjkqD/ | https://www.instagram.com/p/DbwCikaFJsS/","attire: @eliesaabbridal | band: @beatmixchicago | beauty_other: @bsansostiartistry | florist: @floristhounddesign | hair: @reneefeldmanweddings | photographer: @kentdrakephoto | planner: @reverieandcoevents | stationery: @emeryanndesign | venue: @universityclubofchicago | videographer: @socialbridescollective","venue: @universityclubofchicago | planner: @reverieandcoevents | photographer: @kentdrakephoto | videographer: @socialbridescollective | florist: @floristhounddesign | hair: @reneefeldmanweddings | makeup: @bsansostiartistry | musician: @beatmixchicago | attire: @eliesaabbridal | stationery: @emeryanndesign | other: @holyfamilycci"
2340,735,"salvageoneevents",2026-06-08,2026-06-26,18,0.0416667,1,1,"https://www.instagram.com/p/DZVGn8Zlv5r/","https://www.instagram.com/p/DaDMv-MCemX/","attire: @bridesbyyoung | cake: @ecbg_studio | catering: @blueplatechicago | catering: @rpmseafood | dj: @greenlinetalent | florist: @jceden | hair: @blushandbraidsbeautybar | hotel: @canopychiloop | hotel: @jwmarriottchi | photobooth: @grinandbearbooth | photographer: @louieabelleraphoto | planner: @bwstudio_events | stationery: @amore_creative | transportation: @echolimousine | venue: @salvageoneevents","venue: @salvageoneevents | planner: @alexakarkazis | planner: @thecreativeplanners | photographer: @kathrynjeanphotography | florist: @studio__poppy | hair: @windycityglam | cake: @bittersweetpastryshop | catering: @fftchicago | rentals: @bbjlatavola | other: @eleganteventlighting"
