candidate_id,matched_wedding_id,venue_handle,candidate_date,ben_wedding_date,date_delta_days,vendor_jaccard,candidate_post_count,ben_wedding_post_count,jeremy_post_urls,ben_wedding_post_urls,candidate_vendors,ben_wedding_vendors
2809,1203,"maedistrict",2026-08-12,2026-08-11,1,0.842105,1,1,"https://www.instagram.com/p/Db6wm1QjXsj/","https://www.instagram.com/p/Db6wm1QjXsj/","attire: @aislechic | attire: @annebarge | cake: @sweetmandybs | catering: @fftchicago | catering: @hannafftevents | dj: @stylemattersdjs | florist: @savilleflowers | makeup: @dallora_beauty | makeup: @diemangiebeauty | musician: @solaria.strings | photobooth: @pixsterphotobooth | photographer: @eljaycabreraphotography | planner: @amandapevents_ | rentals: @hallsrental | rentals: @mdmentertainmentchicago | venue: @maedistrict | videographer: @blushandbriarfilms","venue: @maedistrict | photographer: @eljaycabreraphotography | videographer: @blushandbriarfilms | florist: @savilleflowers | makeup: @dallora_beauty | makeup: @diemangiebeauty | dj: @stylemattersdjs | musician: @solaria.strings | attire: @aislechic | attire: @annebarge | cake: @sweetmandybs | catering: @fftchicago | catering: @hannafftevents | rentals: @hallsrental | rentals: @mdmentertainmentchicago | photobooth: @pixsterphotobooth | other: @amandapevents_ | other: @suitsupply"
2811,1212,"chicagoilluminatingcompany",2026-08-12,2026-08-12,0,0.733333,1,1,"https://www.instagram.com/p/Db6690kjWJA/","https://www.instagram.com/p/Db6690kjWJA/","attire: @graceandivoryofficial | catering: @violas.kitchen | dj: @funktasticproductions | florist: @flowerchild_floraldesign | hotel: @thedrakechicago | hotel: @thetalbott | musician: @thatsaxguyevents | photographer: @alanalindenfeld | photographer: @devaephotography | planner: @momentsbymarra | venue: @chicagoilluminatingcompany","venue: @chicagoilluminatingcompany | planner: @momentsbymarra | photographer: @alanalindenfeld | photographer: @devaephotography | florist: @flowerchild_floraldesign | dj: @funktasticproductions | musician: @thatsaxguyevents | attire: @graceandivoryofficial | catering: @violas.kitchen | hotel: @thedrakechicago | hotel: @thetalbott | other: @anomaliebeautyagency | other: @chicagocloud9limos | other: @frostchicago | other: @kaymarie53"
2817,1223,"universityclubofchicago",2026-08-13,2026-08-12,1,0.8,1,1,"https://www.instagram.com/p/Db9O5Otld8n/","https://www.instagram.com/p/Db9O5Otld8n/","photographer: @natalieprobst | planner: @bigcitybride | planner: @hansenmadison | venue: @universityclubofchicago","venue: @universityclubofchicago | planner: @bigcitybride | planner: @hansenmadison | photographer: @natalieprobst | other: @rmarkable_events"
2818,1309,"harristheaterchicago",2026-08-13,2026-08-17,4,0.588235,1,1,"https://www.instagram.com/p/Db9TJH_iBv0/","https://www.instagram.com/p/DcJQiB9EVz_/","attire: @bridalreflectionsny | attire: @galialahav | attire: @theweddingdresser | band: @elis.band | cake: @ecbg_studio | catering: @limelightcatering | content_creator: @socialbridescollective | dj: @djmetro16 | dj: @johnvincentlive | hair: @cutsbyamanda | makeup: @rarebirdbeauties | photobooth: @bugbooth | photographer: @kylejohnphoto | planner: @lolaeventpros | planner: @lolamichellev | rentals: @bbjlatavola | rentals: @brittanieahrens | rentals: @hmrdesigns | rentals: @nuagedesignsinc | rentals: @thefestivefrog | stationery: @impress_designstudio | transportation: @ridestg | transportation: @waytogolimousine | transportation: @windycitylimousine | venue: @harristheaterchicago | videographer: @highway61films","venue: @harristheaterchicago | planner: @lolaeventpros | planner: @lolamichellev | photographer: @kylejohnphoto | videographer: @highway61films | videographer: @socialbridescollective | hair: @hairbyamandakosiek | makeup: @rarebirdbeauties | dj: @johnvincentlive | dj: @successful_twan | musician: @elis.band | attire: @bridalreflectionsny | attire: @galialahav | attire: @theweddingdresser | cake: @ecbg_studio | catering: @binnysbev | catering: @limelightcatering | rentals: @bbjlatavola | rentals: @hmrdesigns | rentals: @nuagedesignsinc | rentals: @thefestivefrog | transportation: @ridestg | transportation: @waytogolimousine | transportation: @windycitylimousine | photobooth: @bugbooth | other: @frostchicago | other: @impress_designstudio | other: @vipvaletservice"
2819,1032,"therookerybuilding",2026-08-13,2026-07-30,14,0.636364,1,3,"https://www.instagram.com/p/Db-_B61jPWl/","https://www.instagram.com/p/Db-_B61jPWl/ | https://www.instagram.com/p/DbbAzY9zLu8/ | https://www.instagram.com/p/DcMGo4ZzeqG/","beauty_other: @anomaliebeautyagency | catering: @jewelleventscatering | dj: @stylemattersdjs | florist: @citychicchicago | photographer: @artbelka_photography | planner: @plan_and_gather_events | venue: @therookerybuilding | videographer: @gordino_photoandvideo","venue: @therookerybuilding | photographer: @artbelka_photography | videographer: @gordino_photoandvideo | florist: @citychicchicago | dj: @stylemattersdjs | catering: @jewelleventscatering | beauty_other: @anomaliebeautyagency | other: @art_imagination | other: @boris_piano | other: @plan_and_gather_events"
2820,1224,"galleriamarchetti",2026-08-13,2026-08-13,0,0.888889,1,1,"https://www.instagram.com/p/Db_B1tAFlFD/","https://www.instagram.com/p/Db_OtO0lDSa/","dj: @dj_john_marcopulos | florist: @stevesflowermarket | hair: @tamaraholdenhair | makeup: @torieconnmua | musician: @dgsax_ | photographer: @annamantini.photo | planner: @hampton__events | venue: @galleriamarchetti","venue: @galleriamarchetti | planner: @hampton__events | planner: @joinmostest | photographer: @annamantini.photo | florist: @stevesflowermarket | hair: @tamaraholdenhair | makeup: @torieconnmua | dj: @dj_john_marcopulos | musician: @dgsax_"
2821,1229,"deerpathinn",2026-08-13,2026-08-13,0,0.625,1,1,"https://www.instagram.com/p/Db_EuPdFu7X/","https://www.instagram.com/p/Db_EuPdFu7X/","attire: @bridesbyyoung | florist: @flowersbykh | hair: @viki.hairstylist_ | makeup: @glammedbykatejo | photographer: @foxandivory | planner: @thegildedaisleweddings | venue: @deerpathinn | videographer: @happilyeveraftercc","venue: @deerpathinn | photographer: @foxandivory | videographer: @happilyeveraftercc | hair: @viki.hairstylist_ | makeup: @glammedbykatejo"
2822,1230,"thegroveredfieldestate",2026-08-13,2026-08-13,0,0.923077,1,1,"https://www.instagram.com/p/Db_MZJcjlrS/","https://www.instagram.com/p/Db_MZJcjlrS/","attire: @ettetailor | attire: @truvellebridal | cake: @oakmillbakery | catering: @heartyboys | dj: @toastandjamdjs | florist: @anemonechicago | hair: @stylesbytarapeterson | jeweler: @brilliantearth | makeup: @bridalartistryteam | photographer: @emullinsphoto | planner: @firmlyrootedevents | venue: @thegroveredfieldestate","venue: @thegroveredfieldestate | planner: @firmlyrootedevents | photographer: @emullinsphoto | florist: @anemonechicago | hair: @stylesbytarapeterson | makeup: @bridalartistryteam | dj: @toastandjamdjs | attire: @ettetailor | attire: @truvellebridal | cake: @firecakes | cake: @oakmillbakery | catering: @heartyboys | jeweler: @brilliantearth"
2833,1262,"fourthchurch",2026-08-15,2026-08-14,1,0.769231,1,2,"https://www.instagram.com/p/DcCMFkvGmYS/","https://www.instagram.com/p/DcCMFkvGmYS/ | https://www.instagram.com/p/DcCNEPTmpsz/","attire: @leahdagloriabrides | attire: @parkandfifthco | beauty_other: @anomaliebeautyagency | cake: @bittersweetpastryshop | cake: @blackdoggelato | content_creator: @aforevermore.co | florist: @poppyflowersco | musician: @elegantmusicgroup | photographer: @_teresawilliams | planner: @weddingdaychicago | venue: @fourthchurch | venue: @theexchangechicago","venue: @fourthchurch | venue: @theexchangechicago | planner: @weddingdaychicago | videographer: @aforevermore.co | florist: @poppyflowersco | musician: @elegantmusicgroup | attire: @leahdagloriabrides | attire: @parkandfifthco | cake: @bittersweetpastryshop | cake: @blackdoggelato | beauty_other: @anomaliebeautyagency"
2841,1283,"wildmanbt",2026-08-17,2026-08-16,1,0.846154,1,1,"https://www.instagram.com/p/DcHKzYmCYVu/","https://www.instagram.com/p/DcHKzYmCYVu/","attire: @bellebridalatelier | attire: @indochino | attire: @lihihod | beauty_other: @elleartistry | cake: @flowercupcakeco | catering: @cocinafusioncatering | dj: @stylemattersdjs | jeweler: @jewelrybyjohan | photographer: @emullinsphoto | stationery: @fabledpapery | venue: @wildmanbt","venue: @gpconservatory | venue: @wildmanbt | photographer: @emullinsphoto | florist: @vrinspirations | dj: @stylemattersdjs | attire: @bellebridalatelier | attire: @indochino | attire: @lihihod | stationery: @fabledpapery | cake: @flowercupcakeco | catering: @cocinafusioncatering | jeweler: @jewelrybyjohan | beauty_other: @elleartistry"
2842,1294,"bridgeportartcenter",2026-08-17,2026-08-17,0,0.5625,3,1,"https://www.instagram.com/p/DcHl1XbDSQY/ | https://www.instagram.com/p/DcHQAxdDyL_/ | https://www.instagram.com/p/DcIIE90OSn5/","https://www.instagram.com/p/DcIIE90OSn5/","cake: @bittersweet | cake: @bittersweetpastryshop | catering: @truecuisine | content_creator: @capturedbyamymichelle | dj: @greenline | florist: @flowersfordreams | hair: @magnificentbrides | makeup: @feeling_pretty_inc | musician: @parkweststrings | photographer: @candacesimsphoto | planner: @honorary.bridesmaid | venue: @bridgeportartcenter","venue: @bridgeportartcenter | photographer: @candacesimsphoto | videographer: @capturedbyamymichelle | florist: @flowersfordreams | hair: @magnificentbrides | makeup: @feeling_pretty_inc | dj: @greenline | musician: @parkweststrings | cake: @bittersweet | catering: @truecuisine | other: @artofimagination | other: @honorary.bridesmaid | other: @venuelogic"
2844,1308,"chicagoathletichotel",2026-08-17,2026-08-17,0,0.733333,1,2,"https://www.instagram.com/p/DcHvtTLCel2/","https://www.instagram.com/p/DcHvtTLCel2/ | https://www.instagram.com/p/DcJa-kMN5-k/","cake: @cake_chicago | dj: @djaumir | dj: @thedjfirm | florist: @ashaddevents | hair: @glamatelierchicago | photographer: @joylynphoto | planner: @lolaeventpros | planner: @lolanicolew | rentals: @bbjlatavola | venue: @chicagoathletichotel | videographer: @lvcasmedia","venue: @chicagoathletichotel | planner: @ashaddevents | planner: @lolaeventpros | planner: @lolanicolew | photographer: @joylynphoto | videographer: @lvcasmedia | florist: @ashaddevents | hair: @glamatelierchicago | dj: @djaumir | dj: @thedjfirm | cake: @cake_chicago | rentals: @bbjlatavola | beauty_other: @glamatelierchicago | other: @lolanicolew | other: @unnatizart"
2845,1303,"post433events",2026-08-17,2026-08-17,0,0.8,1,1,"https://www.instagram.com/p/DcHxf8QjHHP/","https://www.instagram.com/p/DcHxf8QjHHP/","florist: @lifeinbloom | photographer: @cristinagphoto | planner: @designereventchicago | venue: @post433events","venue: @post433events | planner: @designereventchicago | photographer: @cristinagphoto | florist: @lifeinbloom | other: @frostchicago"
2847,1291,"rockwellontheriver",2026-08-17,2026-08-17,0,1,1,1,"https://www.instagram.com/p/DcJjCu3FO1y/","https://www.instagram.com/p/DcJjCu3FO1y/","attire: @newhite_bridal | attire: @theblacktux | catering: @cateredbydesign | dj: @greenfourteenchicago | florist: @hedoniaflowers | hair: @emilyraebridalhair | hotel: @thehotelatmidtown | jeweler: @brilliantearth | makeup: @alyssadianamakeup | photographer: @emullinsphoto | planner: @event_shoppe_chi | venue: @rockwellontheriver","venue: @rockwellontheriver | planner: @event_shoppe_chi | photographer: @emullinsphoto | florist: @hedoniaflowers | hair: @emilyraebridalhair | makeup: @alyssadianamakeup | dj: @greenfourteenchicago | attire: @newhite_bridal | attire: @theblacktux | catering: @cateredbydesign | hotel: @thehotelatmidtown | jeweler: @brilliantearth"
2852,1346,"sarabandechicago",2026-08-18,2026-08-18,0,0.7,1,1,"https://www.instagram.com/p/DcLdPPAnLuQ/","https://www.instagram.com/p/DcLdPPAnLuQ/","attire: @kathrynsbridal | attire: @morileeofficial | florist: @lovelushevents | hair: @stylezbyzoeee | makeup: @makeupbyangelical | photographer: @michaelbrandonmedia | venue: @sarabandechicago","venue: @sarabandechicago | photographer: @michaelbrandonmedia | florist: @lovelushevents | hair: @stylezbyzoeee | makeup: @makeupbyangelical | attire: @kathrynsbridal | attire: @morileeofficial | other: @giannamrintz | other: @jacobrintz | other: @jesses_gelato"
2855,1322,"chicagobotanic",2026-08-18,2026-08-18,0,0.625,1,1,"https://www.instagram.com/p/DcKvXddFe0Z/","https://www.instagram.com/p/DcMGvn0lNO3/","cake: @ecbg_studio | dj: @okynegroup | florist: @yannidesignstudio | hair: @rarebirdbeauties | makeup: @suz_sabat_mua | photographer: @cristinagphoto | planner: @afterglowweddingsandevents | venue: @chicagobotanic","venue: @chicagobotanic | planner: @afterglowweddingsandevents | photographer: @cristinagphoto | florist: @yannidesignstudio | dj: @okynegroup"
2856,1323,"chicagoculturalcenter",2026-08-18,2026-08-18,0,0.833333,2,2,"https://www.instagram.com/p/DcLzIx5kZK8/ | https://www.instagram.com/p/DcPan7QETNp/","https://www.instagram.com/p/DcLzIx5kZK8/ | https://www.instagram.com/p/DcPan7QETNp/","cake: @bittersweetpastryshop | catering: @cateristchicago | florist: @mayfloral | hair: @magnificentbrides | makeup: @makeupby_alexcaputi | photobooth: @photocue_rentals | photographer: @m.w.collective | planner: @faith.wbjf | rentals: @yellowshoeseventrentals | venue: @chicagoculturalcenter","venue: @chicagoculturalcenter | planner: @faith.wbjf | photographer: @leahstarkeyphoto | photographer: @m.w.collective | florist: @mayfloral | hair: @magnificentbrides | makeup: @makeupby_alexcaputi | cake: @bittersweetpastryshop | catering: @cateristchicago | rentals: @drapekings | rentals: @yellowshoeseventrentals | photobooth: @photocue_rentals"
2858,1327,"fieldmuseum",2026-08-18,2026-08-18,0,0.7,1,1,"https://www.instagram.com/p/DcMNAYHkRgc/","https://www.instagram.com/p/DcMNAYHkRgc/","cake: @ecbg_studio | catering: @blueplatechicago | dj: @mattroan | florist: @hmrdesigns | florist: @twbaker.events | hair: @glamatelierchicago | musician: @northsidebrassmusicco | officiant: @revbethweddings | photographer: @mariahjonesphoto | planner: @detailschi | rentals: @bbjlatavola | venue: @fieldmuseum | venue: @fieldmuseumspecialevents | videographer: @foreverhellofilms","venue: @fieldmuseum | venue: @fieldmuseumspecialevents | planner: @detailschi | photographer: @mariahjonesphoto | videographer: @foreverhellofilms | florist: @hmrdesigns | florist: @twbaker.events | hair: @glamatelierchicago | dj: @mattroan | musician: @northsidebrassmusicco | cake: @ecbg_studio | catering: @blueplatechicago | rentals: @bbjlatavola | officiant: @revbethweddings | other: @blackcandydesign | other: @frostchicago | other: @maison__blanche__ | other: @supersittersofficial | other: @tillyraeco | other: @vipvalet"
